Disease	Total_Genes	Seed_Genes	Subsystems	Subsystems_Aligned_to_GO	NDEx_URL	HiView_URL
celiac_disease__susceptibility_to__1	3	2	2	0	http://dev2.ndexbio.org/v2/network/377c1aae-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/377c1aae-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
kid_syndrome	5	2	3	0	http://dev2.ndexbio.org/v2/network/5f35ab71-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5f35ab71-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
atrial_septal_defect	22	5	13	5	http://dev2.ndexbio.org/v2/network/4088f440-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4088f440-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
oculocutaneous_albinism	39	2	16	5	http://dev2.ndexbio.org/v2/network/89b72b35-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/89b72b35-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autoinflammatory_syndrome_with_pyogenic_bacterial_infection_and_amylopectinosis	4	2	1	1	http://dev2.ndexbio.org/v2/network/520a9d24-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/520a9d24-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
thiamine_responsive_maple_syrup_urine_disease	4	3	1	1	http://dev2.ndexbio.org/v2/network/18c8d70d-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/18c8d70d-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
renal_tubular_dysgenesis	8	4	7	1	http://dev2.ndexbio.org/v2/network/dec85c93-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/dec85c93-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_renal_hypouricemia	2	2	1	1	http://dev2.ndexbio.org/v2/network/be39f7be-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/be39f7be-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
juvenile_retinoschisis	259	2	106	53	http://dev2.ndexbio.org/v2/network/4f46147f-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4f46147f-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
combined_immunodeficiency_with_skin_granulomas	2	2	1	1	http://dev2.ndexbio.org/v2/network/16a0b24b-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/16a0b24b-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
mental_retardation__autosomal_recessive_39	8	2	5	1	http://dev2.ndexbio.org/v2/network/5e239ec0-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5e239ec0-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
endocrine_system_disease	301	2	133	40	http://dev2.ndexbio.org/v2/network/9a1271ba-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9a1271ba-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
stevens_johnson_syndrome_and_toxic_epidermal_necrolysis__lyell_s_syndrome	4	2	2	0	http://dev2.ndexbio.org/v2/network/1098e470-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1098e470-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
singleton_merten_syndrome__sms_	2	2	1	1	http://dev2.ndexbio.org/v2/network/00985daa-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/00985daa-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
glucocorticoid_remediable_aldosteronism__gra_	2	2	1	1	http://dev2.ndexbio.org/v2/network/b8ce5593-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b8ce5593-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
crisponi_syndrome	2	2	1	1	http://dev2.ndexbio.org/v2/network/26c22ea2-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/26c22ea2-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hypoxanthine_guanine_phosphoribosyltransferase_partial_deficiency	2	2	1	1	http://dev2.ndexbio.org/v2/network/fd56bc60-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/fd56bc60-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
chromosome_17p13_3__centromeric__duplication_syndrome	113	2	41	16	http://dev2.ndexbio.org/v2/network/da363bb2-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/da363bb2-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
tonsillar_cancer	7	3	5	1	http://dev2.ndexbio.org/v2/network/1a846a22-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1a846a22-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
severe_combined_immunodeficiency__autosomal_recessive__t_cell_negative__b_cell_positive__nk_cell_negative	59	3	22	6	http://dev2.ndexbio.org/v2/network/f640d02c-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/f640d02c-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
junctional_epidermolysis_bullosa_herlitz_type	3	2	1	1	http://dev2.ndexbio.org/v2/network/32e69714-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/32e69714-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
palmoplantar_keratoderma__nonepidermolytic	2	2	1	1	http://dev2.ndexbio.org/v2/network/9434b71c-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9434b71c-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
wiedemann_steiner_syndrome	220	2	101	39	http://dev2.ndexbio.org/v2/network/877a176f-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/877a176f-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
megaloblastic_anemia_1	2	2	1	1	http://dev2.ndexbio.org/v2/network/51822114-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/51822114-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hereditary_pancreatitis__hereditary_chronic_pancreatitis	246	5	101	41	http://dev2.ndexbio.org/v2/network/2a8d4b2f-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2a8d4b2f-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
meier_gorlin_syndrome	33	7	14	7	http://dev2.ndexbio.org/v2/network/5833b176-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5833b176-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cap_myopathy	29	3	10	8	http://dev2.ndexbio.org/v2/network/a76532f1-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/a76532f1-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
partial_chromosome_y_deletion	400	2	157	74	http://dev2.ndexbio.org/v2/network/0e4b4b54-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/0e4b4b54-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
giant_cell_arteritis__temporal_arteritis	6	2	2	0	http://dev2.ndexbio.org/v2/network/c43c8321-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c43c8321-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cole_carpenter_syndrome	360	2	141	86	http://dev2.ndexbio.org/v2/network/96b0cfd7-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/96b0cfd7-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cerebral_amyloid_angiopathy__caa___hereditary_cerebral_hemorrhage_with_amyloidosis	2	2	1	1	http://dev2.ndexbio.org/v2/network/b5cc7d10-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b5cc7d10-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hypocalcemia__autosomal_dominant_1	96	2	17	12	http://dev2.ndexbio.org/v2/network/3711c9c8-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3711c9c8-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hemimegalencephaly	203	2	90	42	http://dev2.ndexbio.org/v2/network/002916dc-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/002916dc-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
complete_atrioventricular_canal_left_heart_obstruction_syndrome	20	2	10	2	http://dev2.ndexbio.org/v2/network/ef58644d-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ef58644d-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_rhabdoid_tumor	2	2	1	1	http://dev2.ndexbio.org/v2/network/bf086b5e-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bf086b5e-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
seizures__benign_familial_neonatal__2	2	2	1	1	http://dev2.ndexbio.org/v2/network/ee959def-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ee959def-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
renal_angiomyolipoma	2	2	1	1	http://dev2.ndexbio.org/v2/network/d4502714-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d4502714-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
branchiootorenal_syndrome	5	3	4	0	http://dev2.ndexbio.org/v2/network/8c3ed273-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8c3ed273-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hereditary_persistence_of_fetal_hemoglobin_beta_thalassemia_syndrome	64	4	27	8	http://dev2.ndexbio.org/v2/network/df46a953-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/df46a953-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
epidermal_nevus_syndrome	3	3	1	1	http://dev2.ndexbio.org/v2/network/5c2c09b5-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5c2c09b5-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
congenital_short_bowel_syndrome	358	2	163	53	http://dev2.ndexbio.org/v2/network/cfcb09c9-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/cfcb09c9-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
gitelman_syndrome	26	2	9	4	http://dev2.ndexbio.org/v2/network/b10f4cfa-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b10f4cfa-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
muscular_dystrophy__limb_girdle__type_1e	306	2	133	59	http://dev2.ndexbio.org/v2/network/aef5c701-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/aef5c701-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
oropharynx_cancer	391	4	132	68	http://dev2.ndexbio.org/v2/network/e7082db2-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/e7082db2-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
usher_syndrome_type_1d	2	2	1	1	http://dev2.ndexbio.org/v2/network/37c371a7-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/37c371a7-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
nicolaides_baraitser_syndrome	2	2	1	1	http://dev2.ndexbio.org/v2/network/814cee7b-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/814cee7b-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
aceruloplasminemia	4	2	4	0	http://dev2.ndexbio.org/v2/network/22a56f38-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/22a56f38-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
pitt_hopkins_like_syndrome	6	2	1	1	http://dev2.ndexbio.org/v2/network/dec80e71-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/dec80e71-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
afibrinogenemia__dysfibrinogenemia	3	3	1	1	http://dev2.ndexbio.org/v2/network/2cb211b6-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2cb211b6-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
martsolf_syndrome	2	2	1	1	http://dev2.ndexbio.org/v2/network/4f125a48-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4f125a48-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
thrombotic_thrombocytopenic_purpura	87	3	30	17	http://dev2.ndexbio.org/v2/network/1e52d683-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1e52d683-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
leber_hereditary_optic_neuropathy_and_dystonia__ldyt_	11	2	5	0	http://dev2.ndexbio.org/v2/network/e48552ba-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/e48552ba-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hypoalphalipoproteinemia	3	2	2	2	http://dev2.ndexbio.org/v2/network/f1a1c1e2-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/f1a1c1e2-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
radio_ulnar_synostosis_amegakaryocytic_thrombocytopenia_syndrome	6	2	6	0	http://dev2.ndexbio.org/v2/network/d40cdc68-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d40cdc68-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
severe_neonatal_lactic_acidosis_due_to_nfs1_isd11_complex_deficiency	2	2	1	1	http://dev2.ndexbio.org/v2/network/2123aaae-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2123aaae-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
46_xy_disorder_of_sex_development_due_to_testicular_17_20_desmolase_deficiency	4	2	2	1	http://dev2.ndexbio.org/v2/network/25e7a292-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/25e7a292-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
acute_myeloid_leukemia_with_t_9_11__p22_q23_	8	2	2	1	http://dev2.ndexbio.org/v2/network/25c94520-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/25c94520-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autosomal_dominant_nocturnal_frontal_lobe_epilepsy__adnfle___nocturnal_frontal_lobe_epilepsy__nfle_	3	3	1	1	http://dev2.ndexbio.org/v2/network/3cae045c-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3cae045c-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autosomal_recessive_nonsyndromic_deafness_1b	5	2	3	0	http://dev2.ndexbio.org/v2/network/4a2ce9a1-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4a2ce9a1-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
acute_basophilic_leukemia	10	2	8	2	http://dev2.ndexbio.org/v2/network/2409455a-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2409455a-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
46_xx_sex_reversal_1	9	3	4	0	http://dev2.ndexbio.org/v2/network/23507c7c-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/23507c7c-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
axenfeld_anomaly	2	2	1	1	http://dev2.ndexbio.org/v2/network/50fd249a-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/50fd249a-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
li_fraumeni_syndrome_1	25	2	11	2	http://dev2.ndexbio.org/v2/network/51830b76-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/51830b76-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
generalized_epilepsy_with_febrile_seizures_plus__type_2	7	2	1	1	http://dev2.ndexbio.org/v2/network/c38d090c-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c38d090c-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
silent_pituitary_adenoma	19	2	10	0	http://dev2.ndexbio.org/v2/network/3f4faa1f-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3f4faa1f-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
spondyloarthropathy__susceptibility_to__1	4	2	2	0	http://dev2.ndexbio.org/v2/network/11ca11c3-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/11ca11c3-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
pachyonychia_congenita_1	2	2	1	1	http://dev2.ndexbio.org/v2/network/942fae08-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/942fae08-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
treacher_collins_syndrome_1	361	3	129	61	http://dev2.ndexbio.org/v2/network/6d9adc00-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6d9adc00-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
otospondylomegaepiphyseal_dysplasia	3	2	1	1	http://dev2.ndexbio.org/v2/network/92d108d1-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/92d108d1-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
laryngeal_benign_neoplasm	6	2	3	0	http://dev2.ndexbio.org/v2/network/468d4309-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/468d4309-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
alzheimer_disease_4	11	3	10	1	http://dev2.ndexbio.org/v2/network/22dcabe6-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/22dcabe6-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
caffey_disease	384	2	174	16	http://dev2.ndexbio.org/v2/network/43cedaf4-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/43cedaf4-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
mental_retardation__x_linked__syndromic_10	12	2	9	4	http://dev2.ndexbio.org/v2/network/5ba8db0a-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5ba8db0a-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
leigh_syndrome_with_nephrotic_syndrome	274	2	132	16	http://dev2.ndexbio.org/v2/network/7f6e6acf-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7f6e6acf-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
uv_sensitive_syndrome	13	3	3	3	http://dev2.ndexbio.org/v2/network/323e2cbb-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/323e2cbb-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hereditary_persistence_of_fetal_hemoglobin_sickle_cell_disease_syndrome	64	4	27	8	http://dev2.ndexbio.org/v2/network/19d61e42-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/19d61e42-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
dementia__lewy_body	9	3	6	2	http://dev2.ndexbio.org/v2/network/378198f0-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/378198f0-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_cold_autoinflammatory_syndrome	5	2	2	1	http://dev2.ndexbio.org/v2/network/8675635b-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8675635b-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
waardenburg_syndrome__type_4c	21	2	8	5	http://dev2.ndexbio.org/v2/network/57c47f80-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/57c47f80-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
pick_s_disease	20	2	12	1	http://dev2.ndexbio.org/v2/network/b0b132c4-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b0b132c4-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
seminoma	417	3	156	75	http://dev2.ndexbio.org/v2/network/6989e77f-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6989e77f-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
platelet_type_bleeding_disorder_8	194	3	101	14	http://dev2.ndexbio.org/v2/network/fd75c0e4-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/fd75c0e4-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
ehlers_danlos_syndrome__musculocontractural_type	201	2	90	28	http://dev2.ndexbio.org/v2/network/7dda52e9-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7dda52e9-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cardiac_arrest	2	2	1	1	http://dev2.ndexbio.org/v2/network/a64c4985-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/a64c4985-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
benign_familial_neonatal_infantile_seizures	223	2	79	35	http://dev2.ndexbio.org/v2/network/aa6d91d4-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/aa6d91d4-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
complete_atrioventricular_canal_fallot_tetralogy_syndrome	20	2	10	1	http://dev2.ndexbio.org/v2/network/ef6cfdbf-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ef6cfdbf-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
interstitial_cystitis	3	3	1	1	http://dev2.ndexbio.org/v2/network/0ef451d5-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/0ef451d5-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
alport_syndrome__autosomal_dominant	2	2	1	1	http://dev2.ndexbio.org/v2/network/25c1a3fa-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/25c1a3fa-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autosomal_dominant_hypohidrotic_ectodermal_dysplasia	80	3	38	17	http://dev2.ndexbio.org/v2/network/448b910c-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/448b910c-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
naxos_disease_and_carvajal_syndrome	2	2	1	1	http://dev2.ndexbio.org/v2/network/75df8460-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/75df8460-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
infantile_bartter_syndrome_with_sensorineural_deafness	3	3	1	1	http://dev2.ndexbio.org/v2/network/95c47f6c-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/95c47f6c-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
distal_arthrogryposis__da_	18	5	4	3	http://dev2.ndexbio.org/v2/network/3af8bd75-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3af8bd75-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
striate_palmoplantar_keratoderma	11	3	8	2	http://dev2.ndexbio.org/v2/network/47a4b0e0-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/47a4b0e0-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
keratosis__seborrheic	35	2	13	9	http://dev2.ndexbio.org/v2/network/30b0a414-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/30b0a414-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cd8_deficiency__familial	38	2	20	7	http://dev2.ndexbio.org/v2/network/b71a59ec-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b71a59ec-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
arachnodactyly	342	2	160	61	http://dev2.ndexbio.org/v2/network/2b4ce63c-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2b4ce63c-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
retinitis_punctata_albescens	284	2	118	58	http://dev2.ndexbio.org/v2/network/11ad3ae9-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/11ad3ae9-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
b__and_t_cell_mixed_leukemia	246	2	116	48	http://dev2.ndexbio.org/v2/network/b99989d6-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b99989d6-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hiv_wasting_syndrome	59	4	27	8	http://dev2.ndexbio.org/v2/network/16638c8c-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/16638c8c-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
aplastic_anemia__aa_	474	2	209	106	http://dev2.ndexbio.org/v2/network/5d43e282-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5d43e282-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
peripheral_resistance_to_thyroid_hormones	6	2	2	1	http://dev2.ndexbio.org/v2/network/c8007376-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c8007376-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
short_rib_polydactyly_syndrome__majewski_type	173	2	91	16	http://dev2.ndexbio.org/v2/network/14253f78-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/14253f78-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
null_pituitary_adenoma	19	2	10	0	http://dev2.ndexbio.org/v2/network/8b43befb-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8b43befb-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
